Designator,Footprint,Quantity,Value,LCSC Part #
A1,Flipper_Zero_Angled,1,Flipper_Zero,
"C1, C6",0603,2,22uF,
C2,0603,1,10uF,
"C3, C5",0201,2,100nf,
C4,0603,1,1uF,
D1,LED_Avago_PLCC6_3x2.8mm,1,LED_RGB,
"D2, D3, D4, D5, D6",0201,5,D_TVS,
P1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Plug,
"Q1, Q2",SOT-323_SC-70,2,Si1308EDL,
"Q10, Q12, Q3, Q4, Q5, Q7",SOT-23,6,Q_PMOS_GSD,
"Q11, Q6, Q8, Q9",SOT-363_SC-70-6,4,Q_Dual_PNP_PNP_E1B1C2E2B2C1,
"R1, R10, R11, R15",0603,4,10k,
"R12, R13, R14, R3",0201,4,150,
"R16, R17",0201,2,4.7k,
"R18, R19, R20, R21, R22, R23, R24, R25",0201,8,100k,
R2,0201,1,100,
R4,0201,1,510,
"R5, R6",0201,2,5.1k,
"R7, R8",0201,2,20,
"SW1, SW2",SW_Push_SPST_NO_Alps_SKRK,2,SW_Push,
U1,ESP32-S2-WROVER,1,ESP32-S2-WROVER,
U2,SOT-223,1,AZ1117-3.3,
